Guid ID,Dialogue/Choice Name,Italian,English,Latin,Spanish
0a6f6e0e-dbb6-4f62-8aa5-dcaf54211a33,Event05,"Tieni 23 punti relazione con me, così non potrai sbagliarti. Comunque mi piacerebbe molto
poter cambiare sottofondo musicale, dopo quasi 1800 anni con quella che senti anche tu mi sto
iniziando a stancare.","Keep 23 relationship points with me, so you can't go wrong. However, I would like it very much
being able to change the musical background, after almost 1800 years, I'm happy with the one you hear too
starting to get tired.","Necessitudinem 23 mecum observa, ne errabis. Volo tamen valde
musicam scaenam mutare posse, post annos fere MDCCC gaudeo uno quoque quod audis
incipiens gravere.","Necessitudinem 23 mecum observa, ne errabis. Vuelo tamen valde
musicam scaenam mutare posse, post annos fere MDCCC gaudeo uno quoque quod audis
incipiens gravere."
cc0caa71-8457-45c0-bdc6-2f854d139f1d,_____Event05 Choice [1],Sei un pazzo furioso.,You're a raving madman.,Demens es.,"Demens, p.e."
92226233-d553-49dc-b155-f9efebe6d245,Event06,"Da piccolo sempre, poi crescendo ho capito che non faceva per me. Non parliamone più.","Always as a child, then as I grew up I realized that it wasn't for me. Let's not talk about it anymore.","Semper ut puer, tum adolescerem, intellexi me non esse. Non amplius loqui.","Siempre ut puer, tum adolscerem, intellexi me non esse. No amplius loqui."
fd327167-d5d5-498b-8179-291f37e8dd4f,_____Event06 Choice [1],Edi il passante di professione?,Are you the professional passer-by?,Esne professio praetereuntem?,¿Esne professio praetereuntem?
2cff94d0-9746-422a-8783-96bbcc981159,Event07,Mi sa che ti hanno sentito.,I think they heard you.,Audivisse te arbitror.,Audivisse al árbitro.
2d4081e4-43f9-449e-bf7f-2d6d4b6a5e11,_____Event07 Choice [1],Continua.,Continues.,Perge.,Perge.
18842604-fd49-4908-ab84-3ea133267e91,End01,"Se ti annoia leggere velocizza pure i dialoghi. Se non sai leggere invece spegni pure,
fidati non ci sono bug qua.","If you're bored reading, speed up the dialogues too. If you don't know how to read, just turn it off,
Trust me there are no bugs here.","Si legendos es, etiam dialogos accelera. Si nescis legere, averte,
Non sunt hic cimices, mihi crede.","Sí legendos es, los diálogos etiam se aceleran. Si necesitas leer, ¿lo has hecho?
Mihi cree que no son bichos."
cf40156f-6c8e-404f-90e3-3fa4d982da64,End02,"Va ora, scopri chi di noi ha le cose meno interessanti da dire.","Go now, find out which of us has the least interesting things to say.","Ite nunc, uter nostrum minimum interest dicere.","Ite nunc, uter nuestro mínimo interés en decirlo."
edf0214d-c360-4213-84eb-5c0f6be9485b,End03,"Allora non puoi sbloccarlo ancora, se mi hai offeso non potrai mai.","Then you can't unlock it again, if you have offended me you will never be able to.","Tunc iterum reserare non potes, si me offenderis, nunquam poteris.","Tunc iterum reserare non potes, si me ofendeis, nunquam possibilis."
fb8c2030-dfc3-4b4c-b074-9ac557def3fa,FinalEnd,Fine.,End.,Finem.,Bien.
ad0c46ae-e159-4654-b279-0460097897ba,End04,Torna quando vuoi dai. Non ho molto da fare.,"Come back whenever you want, come on. I don't have much to do.","Redi dum voles, age. Non multum agimus.","Redi dum topillos, edad. Agimus no multum."
